                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8218,                 4.6358,                 1.2007,                0.00086,                0.01389,                0.00128,                 0.0007,                0.77057,                 4.5226,                0.81861,              6.875e-05,              6.875e-05,              6.875e-05
                      2,                 1.5697,                 4.0209,                 1.0289,                0.02841,                0.34397,                0.05912,                0.03301,                0.77162,                 4.3489,                0.80563,             0.00014233,             0.00014233,             0.00014233
                      3,                 1.6318,                 3.3132,                 1.0399,                0.08105,                0.87401,                0.26101,                0.17443,                0.85807,                 3.8343,                 0.8237,             0.00021442,             0.00021442,             0.00021442
                      4,                 1.6706,                 2.8337,                 1.0606,                0.08407,                0.92919,                0.32107,                 0.2245,                0.81416,                 3.4511,                0.83144,             0.00028503,             0.00028503,             0.00028503
                      5,                 1.5922,                 2.5414,                 1.0198,                0.09293,                0.98665,                0.34058,                0.25561,                0.76739,                 2.9464,                0.83292,             0.00035415,             0.00035415,             0.00035415
                      6,                 1.5441,                 2.2328,                 1.0059,                0.32686,                0.30367,                0.36698,                0.27034,                0.78458,                 2.6265,                0.83218,             0.00042178,             0.00042178,             0.00042178
                      7,                 1.5836,                 2.0021,                 1.0261,                0.36897,                0.36432,                0.38422,                0.29627,                0.78616,                 2.2748,                0.83736,             0.00048794,             0.00048794,             0.00048794
                      8,                 1.5429,                 1.8909,                 1.0373,                    0.3,                 0.5021,                0.40329,                0.30506,                0.75564,                 1.8494,                0.83347,              0.0005526,              0.0005526,              0.0005526
                      9,                 1.5873,                 1.8177,                 1.0349,                0.38184,                0.51187,                0.44594,                0.34173,                  0.751,                 1.5629,                0.83459,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.5215,                 1.7472,                 1.0484,                0.27454,                0.53598,                0.39334,                0.29773,                0.78626,                 1.5817,                0.84004,              0.0005755,              0.0005755,              0.0005755
                     11,                 1.5102,                 1.7124,                 1.0197,                0.28165,                 0.5291,                0.41795,                0.32102,                0.75625,                 1.4189,                0.83166,             0.00056931,             0.00056931,             0.00056931
                     12,                 1.4578,                   1.64,                 1.0108,                0.28897,                0.64963,                0.46433,                 0.3656,                0.80867,                 1.3734,                0.83246,             0.00056313,             0.00056313,             0.00056313
                     13,                 1.4987,                 1.6129,                 1.0295,                0.37607,                0.61222,                0.52559,                0.43556,                0.75096,                 1.2763,                0.82804,             0.00055694,             0.00055694,             0.00055694
                     14,                   1.51,                 1.5984,                 1.0159,                0.57524,                0.60324,                0.58649,                0.44124,                0.90323,                 1.2647,                0.83523,             0.00055075,             0.00055075,             0.00055075
                     15,                 1.5276,                 1.5404,                 1.0249,                0.56547,                0.65449,                0.63491,                0.53027,                0.69273,                 1.1789,                0.82087,             0.00054456,             0.00054456,             0.00054456
                     16,                 1.5367,                 1.4969,                 1.0279,                0.63362,                0.69496,                0.68749,                 0.5689,                0.69947,                 1.1318,                0.81673,             0.00053838,             0.00053838,             0.00053838
                     17,                  1.456,                 1.4344,                 1.0143,                0.68181,                0.72037,                0.68888,                0.55052,                0.77575,                 1.2084,                0.82362,             0.00053219,             0.00053219,             0.00053219
                     18,                 1.4365,                 1.3852,                 1.0014,                0.72161,                0.72553,                0.75726,                0.63794,                0.68939,                 1.0811,                0.81478,               0.000526,               0.000526,               0.000526
