                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6268,                  3.016,                 1.1303,                0.47318,                  0.645,                0.57166,                0.46945,                0.72954,                  4.554,                0.88408,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.4953,                  1.417,                 1.1128,                0.69234,                0.81033,                0.82594,                0.69555,                0.68699,                 1.6483,                 0.8554,             0.00022896,             0.00022896,             0.00022896
                      3,                 1.3994,                 1.0999,                 1.0588,                0.36142,                0.85464,                0.40595,                0.32973,                 0.7517,                    nan,                0.86213,             0.00034307,             0.00034307,             0.00034307
                      4,                 1.4246,                0.98802,                 1.0473,                0.73627,                0.91495,                0.82417,                0.67991,                0.70918,                 3.6786,                0.84741,             0.00045483,             0.00045483,             0.00045483
                      5,                 1.4394,                0.94966,                 1.0639,                0.85416,                0.89785,                0.96228,                0.76562,                0.85122,                0.70975,                0.88485,             0.00056423,             0.00056423,             0.00056423
                      6,                 1.4479,                0.92513,                 1.0619,                0.85155,                0.86102,                0.91698,                0.74613,                0.78759,                0.78508,                0.87451,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.4131,                0.86309,                 1.0535,                0.93801,                0.85392,                0.96667,                0.77085,                0.85036,                0.61904,                0.88532,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.3105,                0.73741,                 1.0154,                0.94334,                0.95706,                0.98943,                0.79274,                0.81688,                 0.5014,                0.87814,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.3977,                0.77441,                 1.0647,                0.90535,                0.80589,                0.90174,                 0.6392,                 1.1045,                0.72057,                0.98193,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.3516,                0.75529,                 1.0362,                  0.982,                0.98883,                0.99391,                0.76996,                0.91109,                0.48288,                0.87671,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.3714,                0.72797,                 1.0575,                0.92706,                0.95629,                 0.9889,                0.82801,                0.66302,                0.46717,                0.83986,             0.00056313,             0.00056313,             0.00056313
                     12,                  1.296,                0.70389,                 1.0191,                0.98735,                0.99455,                0.99335,                0.84859,                0.65378,                0.38637,                0.83732,             0.00055694,             0.00055694,             0.00055694
                     13,                 1.2186,                0.66227,                0.99698,                0.97353,                0.98191,                0.99272,                0.82996,                 0.7103,                0.38927,                0.84819,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.3028,                0.70989,                 1.0283,                0.85509,                0.84822,                0.93418,                0.76112,                0.76961,                  0.687,                0.88212,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.2992,                0.69766,                 1.0185,                0.89215,                0.92918,                0.97495,                0.82549,                0.67281,                0.50706,                0.84743,             0.00053838,             0.00053838,             0.00053838
